store_id,influencer_id,rating
0,374,1
0,512,2
0,103,5
0,484,5
0,208,1
0,515,4
0,553,4
0,384,3
0,154,5
0,159,2
0,328,5
0,575,4
0,481,1
0,32,5
0,69,3
1,353,3
1,176,1
1,313,5
1,585,2
1,148,5
1,486,4
1,161,4
1,388,4
1,423,5
1,507,5
1,6,4
1,542,1
1,331,1
1,434,3
1,84,1
2,357,4
2,39,4
2,497,2
2,135,5
2,359,3
2,497,4
2,561,4
2,133,3
2,251,2
2,188,2
2,315,3
2,245,4
2,3,5
2,189,1
2,561,5
3,301,2
3,8,3
3,284,2
3,27,4
3,550,2
3,259,2
3,365,3
3,6,3
3,363,3
3,11,4
3,230,5
3,291,5
3,351,1
3,64,5
3,227,2
4,221,2
4,141,1
4,385,4
4,510,4
4,388,4
4,370,5
4,269,3
4,35,2
4,147,2
4,399,4
4,53,4
4,251,3
4,444,1
4,240,1
4,117,5
5,577,1
5,418,5
5,9,3
5,485,3
5,37,2
5,148,2
5,235,5
5,290,4
5,278,1
5,302,5
5,556,4
5,365,5
5,427,3
5,459,3
5,182,5
6,551,2
6,526,1
6,440,4
6,562,5
6,283,2
6,150,5
6,342,5
6,560,4
6,99,3
6,248,4
6,524,2
6,364,4
6,332,2
6,544,4
6,309,5
7,457,4
7,21,4
7,88,2
7,493,4
7,166,2
7,170,2
7,428,3
7,8,3
7,248,2
7,79,5
7,522,4
7,213,3
7,285,3
7,579,4
7,465,3
8,253,4
8,138,1
8,559,2
8,470,4
8,6,4
8,190,2
8,270,4
8,73,1
8,78,3
8,439,1
8,163,5
8,394,5
8,551,2
8,261,3
8,293,1
9,138,1
9,283,2
9,259,5
9,232,5
9,153,3
9,477,5
9,398,4
9,215,1
9,324,1
9,37,4
9,11,5
9,284,5
9,303,2
9,465,1
9,378,1
10,380,4
10,245,3
10,270,2
10,234,4
10,272,3
10,567,1
10,543,5
10,281,1
10,459,2
10,333,5
10,558,1
10,232,1
10,121,3
10,188,3
10,549,3
11,312,4
11,2,3
11,481,5
11,164,5
11,30,3
11,298,3
11,418,4
11,261,3
11,99,3
11,108,2
11,60,1
11,402,4
11,483,3
11,33,3
11,378,1
12,376,5
12,506,1
12,382,5
12,462,2
12,507,5
12,33,1
12,54,2
12,170,4
12,258,2
12,223,4
12,547,1
12,306,3
12,427,5
12,158,1
12,494,2
13,92,1
13,396,2
13,474,5
13,304,2
13,394,2
13,450,1
13,240,5
13,166,2
13,366,5
13,343,1
13,37,4
13,90,5
13,523,4
13,447,3
13,569,5
14,353,4
14,573,1
14,108,5
14,414,3
14,331,5
14,378,5
14,467,1
14,132,3
14,11,2
14,312,2
14,344,5
14,21,2
14,480,4
14,200,4
14,106,4
15,465,1
15,345,3
15,287,1
15,319,3
15,478,2
15,94,3
15,565,3
15,172,5
15,356,1
15,11,5
15,429,3
15,298,5
15,56,4
15,65,1
16,414,4
16,268,2
16,268,3
16,236,4
16,41,5
16,579,3
16,66,1
16,341,5
16,425,2
16,14,3
16,261,4
16,475,5
16,305,1
16,212,2
16,534,4
17,420,1
17,212,1
17,396,2
17,452,1
17,378,1
17,133,2
17,328,5
17,290,2
17,253,1
17,63,2
17,486,5
17,122,4
17,467,3
17,133,5
17,449,4
18,345,3
18,83,1
18,446,5
18,11,1
18,90,3
18,435,2
18,389,4
18,206,3
18,246,3
18,15,5
18,80,1
18,476,3
18,488,4
18,434,3
18,364,5
19,544,1
19,550,2
19,509,1
19,24,5
19,26,2
19,8,1
19,40,3
19,464,5
19,522,2
19,7,3
19,395,5
19,415,1
19,268,2
19,138,5
19,262,1
20,527,4
20,303,5
20,471,5
20,278,1
20,484,5
20,227,5
20,510,4
20,563,2
20,167,1
20,262,5
20,8,1
20,420,3
20,331,2
20,519,4
20,42,1
21,333,1
21,74,4
21,197,2
21,345,5
21,33,4
21,498,1
21,222,2
21,208,2
21,6,2
21,152,1
21,135,4
21,17,3
21,350,3
21,134,1
21,380,5
22,136,5
22,155,1
22,178,5
22,217,5
22,364,5
22,543,5
22,335,4
22,446,3
22,39,5
22,453,5
22,545,4
22,402,4
22,0,5
22,441,1
22,238,2
23,533,3
23,99,2
23,198,2
23,535,2
23,466,1
23,527,1
23,317,2
23,13,5
23,458,1
23,406,2
23,241,2
23,366,1
23,79,3
23,177,5
24,341,3
24,433,1
24,285,5
24,354,3
24,74,5
24,160,5
24,207,4
24,381,3
24,242,1
24,208,1
24,244,3
24,296,5
24,285,4
24,206,2
24,551,3
25,75,1
25,287,2
25,97,2
25,177,4
25,574,4
25,165,2
25,376,4
25,470,5
25,198,3
25,375,5
25,203,5
25,146,4
25,421,1
25,298,2
25,500,2
26,485,2
26,275,2
26,46,5
26,28,3
26,348,2
26,313,4
26,344,2
26,292,4
26,36,4
26,146,2
26,363,4
26,69,5
26,563,4
26,183,4
26,191,3
27,192,5
27,126,2
27,515,4
27,181,4
27,134,4
27,410,3
27,544,3
27,327,1
27,155,3
27,339,1
27,288,2
27,484,3
27,219,1
27,557,2
27,416,4
28,336,1
28,467,5
28,342,4
28,282,1
28,6,5
28,161,1
28,278,3
28,165,4
28,332,1
28,492,3
28,560,3
28,414,4
28,24,3
28,539,1
28,81,1
29,43,5
29,171,3
29,380,3
29,16,2
29,457,3
29,125,1
29,495,5
29,537,2
29,239,5
29,249,3
29,6,4
29,546,5
29,379,1
29,452,3
29,432,2
30,350,2
30,455,5
30,399,1
30,547,5
30,252,2
30,77,5
30,540,2
30,418,3
30,314,5
30,456,3
30,402,5
30,341,3
30,218,2
30,49,5
30,463,4
31,485,3
31,82,4
31,71,4
31,17,2
31,428,2
31,542,1
31,262,4
31,7,1
31,553,3
31,530,2
31,103,5
31,450,4
31,465,2
31,579,1
31,128,5
32,43,2
32,393,3
32,69,4
32,553,4
32,460,4
32,2,1
32,524,4
32,523,4
32,515,2
32,270,1
32,534,1
32,345,3
32,122,1
32,385,4
32,111,3
33,403,4
33,342,1
33,249,4
33,448,4
33,138,2
33,93,5
33,451,1
33,410,2
33,539,2
33,92,4
33,380,5
33,245,5
33,411,5
33,345,5
33,378,2
34,436,4
34,451,3
34,252,3
34,17,5
34,505,1
34,511,4
34,350,4
34,338,4
34,370,5
34,432,5
34,459,2
34,353,2
34,530,1
34,364,2
35,464,3
35,164,4
35,92,4
35,161,1
35,302,5
35,321,5
35,580,2
35,278,5
35,491,1
35,575,1
35,514,4
35,108,2
35,42,1
35,448,2
35,466,5
36,444,1
36,87,5
36,132,3
36,73,5
36,189,3
36,250,1
36,308,1
36,103,5
36,455,2
36,27,2
36,163,4
36,207,4
36,63,2
36,414,4
36,101,5
37,294,1
37,261,1
37,19,3
37,263,1
37,581,2
37,77,5
37,253,5
37,542,2
37,140,3
37,338,1
37,208,3
37,534,2
37,177,3
37,324,2
37,5,1
38,9,4
38,577,4
38,217,5
38,29,1
38,380,4
38,331,2
38,232,4
38,531,3
38,523,5
38,265,3
38,307,5
38,74,2
38,32,4
38,88,3
38,18,5
39,421,5
39,165,2
39,230,1
39,469,1
39,524,1
39,585,5
39,287,5
39,462,1
39,453,5
39,318,3
39,236,5
39,563,1
39,353,3
39,284,1
39,154,2
40,94,1
40,241,4
40,41,4
40,508,3
40,499,2
40,274,1
40,227,4
40,475,1
40,320,1
40,133,3
40,40,1
40,139,5
40,413,2
40,151,3
40,414,4
41,468,2
41,336,5
41,566,3
41,43,4
41,354,2
41,6,3
41,80,4
41,520,1
41,496,5
41,488,4
41,237,3
41,582,2
41,453,2
41,507,2
41,476,2
42,153,2
42,86,5
42,17,4
42,426,3
42,127,3
42,560,4
42,513,3
42,554,4
42,202,5
42,361,4
42,442,2
42,562,4
42,73,5
42,66,1
42,317,5
43,544,2
43,301,1
43,103,2
43,23,4
43,64,1
43,427,1
43,444,3
43,494,2
43,523,2
43,379,3
43,244,3
43,541,1
43,351,2
43,129,5
43,548,3
44,461,5
44,489,1
44,522,3
44,129,5
44,433,1
44,535,4
44,154,4
44,221,4
44,458,4
44,42,5
44,323,2
44,509,4
44,234,5
44,580,4
44,466,5
45,191,5
45,580,3
45,275,1
45,383,3
45,518,1
45,149,1
45,506,1
45,346,5
45,398,1
